Credential,Graduating Cohort,Field of Study (CIP code),Years After Graduation,Median Income, Cohort Size 
Diploma ,2010,"52. Business, management, marketing and related support services",2,"$43,300"," 1,070 "
Diploma ,2011,"52. Business, management, marketing and related support services",2,"$42,800"," 1,060 "
Diploma ,2012,"52. Business, management, marketing and related support services",2,"$43,900"," 1,050 "
Diploma ,2013,"52. Business, management, marketing and related support services",2,"$40,500", 980 
Diploma ,2005,54. History,2,n/a, n/a 
Diploma ,2006,54. History,2,n/a, n/a 
Diploma ,2007,54. History,2,n/a, n/a 
Diploma ,2008,54. History,2,n/a, n/a 
Diploma ,2009,54. History,2,"$43,100", 40 
Diploma ,2010,54. History,2,n/a, n/a 
Diploma ,2011,54. History,2,n/a, n/a 
Diploma ,2012,54. History,2,n/a, n/a 
Diploma ,2013,54. History,2,n/a, n/a 
Bachelor's degree,2005,00. Total,2,"$57,600"," 7,140 "
Bachelor's degree,2006,00. Total,2,"$58,400"," 7,980 "
Bachelor's degree,2007,00. Total,2,"$59,200"," 7,940 "
Bachelor's degree,2008,00. Total,2,"$59,000"," 7,900 "
Bachelor's degree,2009,00. Total,2,"$57,800"," 7,580 "
Bachelor's degree,2010,00. Total,2,"$59,000"," 7,570 "
Bachelor's degree,2011,00. Total,2,"$60,100"," 8,120 "
Bachelor's degree,2012,00. Total,2,"$59,600"," 8,280 "
Bachelor's degree,2013,00. Total,2,"$58,900"," 8,110 "
Bachelor's degree,2005,"01. Agriculture, agriculture operations and related sciences",2,"$56,600", 50 
Bachelor's degree,2006,"01. Agriculture, agriculture operations and related sciences",2,"$50,900", 40 
Bachelor's degree,2007,"01. Agriculture, agriculture operations and related sciences",2,"$53,800", 40 
Bachelor's degree,2008,"01. Agriculture, agriculture operations and related sciences",2,"$46,200", 30 
Bachelor's degree,2009,"01. Agriculture, agriculture operations and related sciences",2,"$50,800", 20 
Bachelor's degree,2010,"01. Agriculture, agriculture operations and related sciences",2,"$50,200", 20 
