Credential,Graduating Cohort,Field of Study (CIP code),Years After Graduation,Median Income, Cohort Size 
Bachelor's degree,2008,38. Philosophy and religious studies,5,n/a, n/a 
Bachelor's degree,2009,38. Philosophy and religious studies,5,"$29,200", 20 
Bachelor's degree,2010,38. Philosophy and religious studies,5,"$42,500", 30 
Bachelor's degree,2005,40. Physical sciences,5,"$89,700", 110 
Bachelor's degree,2006,40. Physical sciences,5,"$79,200", 120 
Bachelor's degree,2007,40. Physical sciences,5,"$84,800", 130 
Bachelor's degree,2008,40. Physical sciences,5,"$88,100", 150 
Bachelor's degree,2009,40. Physical sciences,5,"$85,500", 120 
Bachelor's degree,2010,40. Physical sciences,5,"$75,900", 120 
Bachelor's degree,2005,42. Psychology,5,"$47,000", 200 
Bachelor's degree,2006,42. Psychology,5,"$49,700", 230 
Bachelor's degree,2007,42. Psychology,5,"$47,500", 200 
Bachelor's degree,2008,42. Psychology,5,"$52,100", 210 
Bachelor's degree,2009,42. Psychology,5,"$48,400", 210 
Bachelor's degree,2010,42. Psychology,5,"$48,300", 190 
Bachelor's degree,2005,43. Security and protective services,5,"$70,800", 40 
Bachelor's degree,2006,43. Security and protective services,5,"$78,900", 90 
Bachelor's degree,2007,43. Security and protective services,5,"$78,500", 90 
Bachelor's degree,2008,43. Security and protective services,5,"$77,900", 70 
Bachelor's degree,2009,43. Security and protective services,5,"$78,300", 70 
Bachelor's degree,2010,43. Security and protective services,5,"$100,300", 40 
Bachelor's degree,2005,44. Public administration and social service professions,5,"$52,500", 110 
Bachelor's degree,2006,44. Public administration and social service professions,5,"$61,600", 110 
Bachelor's degree,2007,44. Public administration and social service professions,5,"$59,400", 100 
Bachelor's degree,2008,44. Public administration and social service professions,5,"$51,000", 80 
Bachelor's degree,2009,44. Public administration and social service professions,5,"$55,700", 80 
Bachelor's degree,2010,44. Public administration and social service professions,5,"$61,400", 90 
Bachelor's degree,2005,45. Social sciences,5,"$59,900", 430 
Bachelor's degree,2006,45. Social sciences,5,"$58,800", 480 
Bachelor's degree,2007,45. Social sciences,5,"$61,200", 470 
Bachelor's degree,2008,45. Social sciences,5,"$58,000", 450 
Bachelor's degree,2009,45. Social sciences,5,"$58,800", 430 
Bachelor's degree,2010,45. Social sciences,5,"$56,200", 420 
Bachelor's degree,2005,50. Visual and performing arts,5,"$39,700", 180 
Bachelor's degree,2006,50. Visual and performing arts,5,"$36,800", 190 
Bachelor's degree,2007,50. Visual and performing arts,5,"$41,200", 180 
Bachelor's degree,2008,50. Visual and performing arts,5,"$37,700", 210 
Bachelor's degree,2009,50. Visual and performing arts,5,"$40,300", 200 
Bachelor's degree,2010,50. Visual and performing arts,5,"$39,700", 180 
Bachelor's degree,2005,51. Health professions and related programs,5,"$75,200", 740 
Bachelor's degree,2006,51. Health professions and related programs,5,"$74,800", 930 
Bachelor's degree,2007,51. Health professions and related programs,5,"$77,300"," 1,000 "
Bachelor's degree,2008,51. Health professions and related programs,5,"$77,800", 990 
Bachelor's degree,2009,51. Health professions and related programs,5,"$78,900", 980 
Bachelor's degree,2010,51. Health professions and related programs,5,"$77,800"," 1,000 "
Bachelor's degree,2005,"52. Business, management, marketing and related support services",5,"$75,000"," 1,030 "
